ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp,time
4123.0,1081810,1734936170,1734936171,39,10,4123.0,4124.3,1,97268,163024,4159.29,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-47.3,-1.1342,1734955972.723785
4123.0,1081812,1734936172,1734936173,38,11,4123.0,4124.0,1,97963,162956,4159.29,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-47.3,-1.1342,1734955974.72318
4123.0,1081812,1734936172,1734936174,38,11,4123.0,4124.0,8,97963,162956,4159.29,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-47.3,-1.1342,1734955976.169732
4123.45,1081822,1734936175,1734936175,31,57,4123.0,4124.0,36,97914,163028,4159.28,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-46.85,-1.1234,1734955977.114536
4123.15,1081926,1734936176,1734936177,175,58,4123.15,4124.05,10,97835,162462,4159.28,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-47.15,-1.1306,1734955977.891743
4123.15,1082093,1734936178,1734936178,117,64,4123.15,4124.3,27,98215,162369,4159.28,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-47.15,-1.1306,1734955979.075669
4123.2,1082276,1734936180,1734936181,13,20,4123.2,4124.25,3,98169,162800,4159.27,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-47.1,-1.1294,1734955982.80196
4124.25,1082295,1734936182,1734936183,7,20,4123.2,4124.25,23,98150,162836,4159.27,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-46.05,-1.1042,1734955984.666264
4124.0,1082483,1734936186,1734936186,315,1,4124.0,4124.15,10,96687,161989,4159.26,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-46.3,-1.1102,1734955987.60602
4124.2,1082533,1734936189,1734936189,15,1,4124.15,4124.75,2,98838,161232,4159.26,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-46.1,-1.1054,1734955989.972264
4124.75,1082534,1734936190,1734936190,7,1,4124.3,4124.75,1,98553,161130,4159.26,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-45.55,-1.0922,1734955991.189779
4124.25,1082534,1734936190,1734936190,7,1,4124.3,4124.75,1,97853,161241,4159.26,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-46.05,-1.1042,1734955991.497307
4124.6,1082662,1734936191,1734936192,22,16,4124.3,4125.65,1,98417,160666,4159.26,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-45.7,-1.0958,1734955992.779188
4124.7,1082722,1734936194,1734936194,11,27,4124.7,4126.1,1,100265,160092,4159.26,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-45.6,-1.0934,1734955995.10473
4125.45,1082722,1734936194,1734936195,10,16,4125.45,4126.1,10,100874,160214,4159.26,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.85,-1.0755,1734955996.0115
4125.5,1082954,1734936198,1734936199,68,1,4125.5,4125.95,2,99591,160356,4159.25,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.8,-1.0743,1734956000.772716
4126.0,1082956,1734936199,1734936200,66,3,4125.5,4125.95,2,99603,160159,4159.25,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.3,-1.0623,1734956002.086593
4126.0,1082977,1734936201,1734936201,65,26,4125.5,4126.0,2,99618,160186,4159.25,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.3,-1.0623,1734956002.4219
4126.55,1083113,1734936205,1734936205,26,1,4126.55,4126.8,11,101493,158797,4159.24,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.75,-1.0491,1734956006.782376
4126.6,1083234,1734936207,1734936207,14,3,4126.55,4126.6,20,99124,158336,4159.24,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.7,-1.0479,1734956008.814595
4126.7,1083385,1734936209,1734936209,18,30,4126.7,4127.55,7,102198,159449,4159.24,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.6,-1.0455,1734956010.77764
4127.7,1083535,1734936210,1734936211,18,18,4126.75,4127.7,1,102375,154374,4159.23,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-42.6,-1.0215,1734956011.589491
4127.7,1083551,1734936212,1734936212,122,9,4126.7,4127.7,1,102556,158055,4159.23,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-42.6,-1.0215,1734956012.881756
4127.7,1083672,1734936213,1734936213,2,25,4126.75,4127.7,3,102705,159159,4159.23,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-42.6,-1.0215,1734956014.989447
4126.75,1083680,1734936214,1734936214,12,22,4126.75,4127.7,3,102225,156664,4159.23,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.55,-1.0443,1734956015.778815
4125.45,1083730,1734936215,1734936216,4,31,4126.75,4127.0,5,102023,159597,4159.23,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.85,-1.0755,1734956016.904297
4125.25,1084044,1734936216,1734936217,115,27,4125.25,4126.3,29,93880,160972,4159.22,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-45.05,-1.0803,1734956018.028774
4126.65,1084357,1734936218,1734936219,9,1,4125.8,4126.45,4,101617,161181,4159.21,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.65,-1.0467,1734956020.89289
4126.4,1084591,1734936224,1734936224,4,3,4125.65,4125.7,20,102183,161362,4159.2,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.9,-1.0527,1734956025.709237
4126.15,1084732,1734936225,1734936226,8,70,4126.2,4126.65,3,100604,160739,4159.2,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.15,-1.0587,1734956027.717948
4125.65,1085047,1734936227,1734936228,4,66,4125.65,4126.65,1,99257,160807,4159.19,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.65,-1.0707,1734956028.911262
4125.25,1085175,1734936230,1734936230,1,12,4125.3,4126.2,1,101604,160919,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-45.05,-1.0803,1734956031.846701
4125.25,1085175,1734936230,1734936231,1,12,4125.3,4126.2,1,101604,160921,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-45.05,-1.0803,1734956032.182886
4126.2,1085191,1734936231,1734936232,1,12,4125.3,4126.2,3,101226,160964,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.1,-1.0575,1734956033.059491
4126.2,1085199,1734936232,1734936232,65,7,4125.25,4126.2,8,101588,160922,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.1,-1.0575,1734956033.703365
4125.25,1085220,1734936233,1734936233,65,5,4125.25,4126.2,1,101622,160970,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-45.05,-1.0803,1734956034.925484
4126.2,1085238,1734936234,1734936234,52,2,4125.25,4126.2,1,101584,160935,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.1,-1.0575,1734956035.723348
4125.3,1085240,1734936235,1734936236,23,1,4125.5,4126.2,1,101443,160968,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-45.0,-1.0791,1734956036.985659
4125.7,1085289,1734936237,1734936237,18,51,4125.55,4125.7,21,101952,160898,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.6,-1.0695,1734956037.806536
4125.7,1085346,1734936237,1734936238,12,13,4125.85,4126.2,15,101358,159130,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.6,-1.0695,1734956039.011671
4125.85,1085346,1734936237,1734936238,12,13,4125.85,4126.2,12,101358,159130,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.45,-1.0659,1734956039.810057
4125.8,1085365,1734936239,1734936239,8,2,4125.8,4125.85,3,101169,160883,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.5,-1.0671,1734956040.136772
4125.85,1085365,1734936239,1734936240,8,2,4125.8,4125.85,10,101169,160883,4159.18,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.45,-1.0659,1734956040.932815
4125.85,1085419,1734936240,1734936241,6,15,4125.85,4126.0,2,102045,160921,4159.17,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.45,-1.0659,1734956042.213704
4126.0,1085421,1734936241,1734936242,4,15,4125.85,4126.0,3,102332,160968,4159.17,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.3,-1.0623,1734956042.913631
4126.15,1085495,1734936246,1734936246,3,1,4126.1,4126.15,1,101325,160809,4159.17,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.15,-1.0587,1734956047.417871
4126.4,1085599,1734936247,1734936247,6,3,4126.4,4127.5,4,103968,158725,4159.17,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.9,-1.0527,1734956048.215886
4127.0,1085715,1734936252,1734936252,2,11,4126.7,4127.5,54,103000,158470,4159.17,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.3,-1.0383,1734956053.827491
4126.6,1085836,1734936253,1734936253,19,3,4126.6,4127.4,3,102939,156841,4159.16,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.7,-1.0479,1734956054.619376
4127.5,1085865,1734936254,1734936254,10,3,4126.6,4127.5,1,102776,158686,4159.16,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-42.8,-1.0263,1734956055.825547
4127.35,1085874,1734936255,1734936255,8,1,4127.1,4127.5,1,103346,157442,4159.16,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-42.95,-1.0299,1734956056.632919
4126.6,1086096,1734936257,1734936258,23,5,4126.6,4127.0,6,102719,157279,4159.15,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.7,-1.0479,1734956059.02159
4126.6,1086303,1734936258,1734936259,16,15,4126.6,4126.65,16,103392,158988,4159.15,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.7,-1.0479,1734956060.226923
4126.6,1086336,1734936262,1734936261,6,6,4126.15,4126.6,1,103396,159805,4159.15,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.7,-1.0479,1734956062.638569
4126.6,1086336,1734936262,1734936262,6,6,4126.15,4126.6,3,103396,159805,4159.15,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.7,-1.0479,1734956063.06403
4126.1,1086407,1734936266,1734936267,11,13,4126.1,4126.65,11,102626,159833,4159.14,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-44.2,-1.0599,1734956067.838529
4126.65,1086542,1734936267,1734936268,142,14,4126.65,4127.75,21,103394,159486,4159.14,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-43.65,-1.0467,1734956069.061556
4127.7,1086580,1734936269,1734936269,115,13,4126.65,4127.7,3,103441,159524,4159.14,4118.1,4217.0,0,0,4200.05,4170.3,sf,NSE:TCS-EQ,-42.6,-1.0215,1734956069.832036
